_id,text,processedText
278906,"Chocolate Guinness® Bundt® Cake with Whiskey Whipped Cream 2 cups all-purpose flour 1 1/2 cups white sugar 1/2 cup unsweetened cocoa powder 1 teaspoon baking soda 1 teaspoon baking powder 1/4 teaspoon salt 3/4 cup Irish stout beer (such as Guinness®) 3/4 cup buttermilk 1/2 cup butter, melted and cooled 1 cup heavy cream 1 tablespoon powdered sugar 1 tablespoon whiskey",chocolate guinness bundt cake whiskey whip cream cup purpose flour cup white sugar cup unsweetened cocoa powder teaspoon bake soda teaspoon bake powder teaspoon salt cup irish stout beer guinness cup buttermilk cup butter melt cool cup heavy cream tablespoon powder sugar tablespoon whiskey
278907,"Moist Orange Cake with Olive Oil 3 eggs 1 cup monk fruit sugar substitute 2/3 cup olive oil 2 medium oranges, zested and juiced 1 teaspoon vanilla extract 2 1/4 cups oat flour 2 teaspoons baking powder",moist orange cake olive oil egg cup monk fruit sugar substitute cup olive oil medium orange zest juiced teaspoon vanilla extract cup oat flour teaspoon bake powder
278910,"Swedish Shrimp Salad with Dill 3/4 cup sour cream 1/4 cup mayonnaise 2 tablespoons chopped fresh dill 1 lemon, zested and juiced 1 pound frozen cooked, peeled, and deveined shrimp, thawed 1/4 teaspoon salt ground black pepper to taste",swedish shrimp salad dill cup sour cream cup mayonnaise tablespoon chop fresh dill lemon zest juiced pound freeze cook peel devein shrimp thaw teaspoon salt grind black pepper taste
278911,"Swedish Pecan-Topped Dream Cookies 1 cup cake flour 1/4 teaspoon salt 1/8 teaspoon baking powder 1/2 cup butter, softened 1/2 cup white sugar 1 teaspoon vanilla extract 24 whole pecans",swedish pecan top dream cooky cup cake flour teaspoon salt teaspoon bake powder cup butter soften cup white sugar teaspoon vanilla extract whole pecan
278912,Tropical Banana Scones ¾ cup chopped banana ¼ cup pineapple juice 2 cups unbleached all-purpose flour ¾ teaspoon baking soda ½ teaspoon baking powder ¼ teaspoon salt ⅜ cup turbinado sugar ¼ cup butter ¼ cup coconut oil 2 ounces Greek yogurt,tropical banana scone cup chop banana cup pineapple juice cup unbleached purpose flour teaspoon bake soda teaspoon bake powder teaspoon salt cup turbinado sugar cup butter cup coconut oil ounce greek yogurt
278913,"Tropical BBQ Meatballs 1  serving cooking spray 1 cup mango chunks 2 pounds ground beef ½ cup bread crumbs 3 cloves garlic, minced 1 (1 ounce) package dry golden onion soup mix (such as Lipton®) 1 tablespoon adobo seasoning 1 teaspoon ground thyme 1 teaspoon ground ginger 1 teaspoon sea salt ½ teaspoon ground black pepper 2   eggs",tropical bbq meatball serve cook spray cup mango chunk pound grind beef cup bread crumb cleave garlic mince ounce package dry golden onion soup mix lipton tablespoon adobo season teaspoon grind thyme teaspoon grind ginger teaspoon sea salt teaspoon grind black pepper egg
278914,"Tropical Island Bundt® Cake Cake: 3 medium ripe bananas, mashed 1 (8 ounce) can crushed pineapple in juice, drained and juice reserved, divided 3/4 cup water 1/2 cup unsweetened applesauce 3 eggs 1 teaspoon coconut extract 1 (15.25 ounce) package yellow cake mix 1 cup sweetened flaked coconut 1 (3.5 ounce) package instant coconut cream pudding mix Sauce: 3/4 cup dark brown sugar 1/3 cup heavy cream 1/4 cup butter 1/4 cup dark rum",tropical island bundt cake cake medium ripe banana mash ounce crush pineapple juice drain juice reserve divide cup water cup unsweetened applesauce egg teaspoon coconut extract ounce package yellow cake mix cup sweeten flake coconut ounce package instant coconut cream pudding mix sauce cup dark brown sugar cup heavy cream cup butter cup dark rum
278915,"Pineapple Meringue Pie 1 cup white sugar 2 tablespoons cornstarch 1/8 teaspoon salt 1 (20 ounce) can crushed pineapple, undrained 3 eggs, separated, divided 1 tablespoon lemon juice 1/4 teaspoon cream of tartar 6 tablespoons white sugar 1 (9 inch) baked pastry shell",pineapple meringue pie cup white sugar tablespoon cornstarch teaspoon salt ounce crush pineapple undrained egg separate divide tablespoon lemon juice teaspoon cream tartar tablespoon white sugar inch bake pastry shell
278916,"Hawaiian Hush Puppies 1 quart oil for deep frying 1 (15 ounce) can cream-style corn, drained 1 (15 ounce) can crushed pineapple, drained 2 cups cornmeal 1 cup self-rising flour 1 cup shredded Cheddar cheese ½ cup minced onion ½ cup white sugar 2   eggs, beaten 1 pinch salt and ground black pepper to taste",hawaiian hush puppy quart oil deep fry ounce cream style corn drain ounce crush pineapple drain cup cornmeal cup self rise flour cup shred cheddar cheese cup mince onion cup white sugar egg beat pinch salt grind black pepper taste
278917,"Instant Pot® Cottage Pie Soup 1 pound lean ground beef 1 medium onion, chopped 2   celery ribs, sliced 4 cups beef broth 2 cups water 2 tablespoons tomato paste 1 tablespoon Worcestershire sauce 1 (1.5 ounce) package dry beef stew seasoning mix 1 (12 ounce) package frozen peas and carrots 1 cup frozen corn 2 cups prepared mashed potatoes 1   egg yolk 1 tablespoon butter, melted",instant pot cottage pie soup pound lean grind beef medium onion chop celery rib slice cup beef broth cup water tablespoon tomato paste tablespoon worcestershire sauce ounce package dry beef stew season mix ounce package freeze pea carrot cup freeze corn cup prepare mash potato egg yolk tablespoon butter melt
278918,"Moroccan Lentil Stew 5 cups hot water 2 cubes tomato bouillon with chicken flavoring (such as Knorr®) 1 tablespoon extra-virgin olive oil 1 cup chopped yellow onion 2 large cloves garlic, minced 1 teaspoon dried fenugreek leaves 1 bay leaf 1/2 teaspoon ground cumin 1/2 teaspoon ground coriander 1/2 teaspoon ground cinnamon 1/2 teaspoon salt 1/4 teaspoon cayenne pepper 1 cup lentils 1 cup peeled and chopped butternut squash 1 large carrot, chopped 1 celery stalk, chopped 1/2 cup chopped fresh green beans 1/4 cup frozen peas 1 tablespoon chopped fresh cilantro (optional)",moroccan lentil stew cup hot water cube tomato bouillon chicken flavor knorr tablespoon extra virgin olive oil cup chop yellow onion large cleave garlic mince teaspoon dry fenugreek leaf bay leaf teaspoon grind cumin teaspoon grind coriander teaspoon grind cinnamon teaspoon salt teaspoon cayenne pepper cup lentil cup peel chop butternut squash large carrot chop celery stalk chop cup chop fresh green bean cup freeze pea tablespoon chop fresh cilantro optional
278919,"Instant Pot® Chicken Pot Pie Risotto 1 tablespoon olive oil 1 tablespoon butter 2 (5 ounce) boneless skinless chicken breasts, diced 1/3 cup diced onion 1/4 cup Chardonnay wine 1 3/4 cups chicken broth, divided 1 cup Arborio rice 1 tablespoon Chardonnay wine 3/4 cup corn 3/4 cup peas 3/4 cup heavy whipping cream 1/3 cup freshly shaved Parmesan cheese 1/4 teaspoon garlic powder 1/4 teaspoon dried oregano 1/4 teaspoon dried thyme 1/4 teaspoon dried marjoram 1/8 teaspoon salt 1/8 teaspoon ground black pepper",instant pot chicken pot pie risotto tablespoon olive oil tablespoon butter ounce boneless skinless chicken breast dice cup dice onion cup chardonnay wine cup chicken broth divide cup arborio rice tablespoon chardonnay wine cup corn cup pea cup heavy whip cream cup freshly shave parmesan cheese teaspoon garlic powder teaspoon dry oregano teaspoon dry thyme teaspoon dry marjoram teaspoon salt teaspoon grind black pepper
278920,"Hawaiian-Style Bacon Fried Rice 1/2 pound bacon, cut into 1-inch pieces 1/2 sweet onion, diced 1/2 link Portuguese chourico sausage, diced 3 large eggs 6 cups cooked white rice 1 dash soy sauce, or to taste ground black pepper to taste 1/2 cup scallions, thinly sliced",hawaiian style bacon fry rice pound bacon cut inch piece sweet onion dice link portuguese chourico sausage dice large egg cup cook white rice dash soy sauce taste grind black pepper taste cup scallion thinly slice
278921,"Southwestern Summer Squash Casserole 1 ear corn 2 pounds pattypan squash 1 1/2 cups Southwestern-style frozen mixed vegetables, thawed 1 large onion, cut into chunks 1 jalapeno pepper, minced, or more to taste 2 tablespoons olive oil 2 teaspoons salt-free Southwest chipotle seasoning blend (such as Mrs. Dash®) 1 serving cooking spray (such as Pam®) 1 (9 ounce) package chorizo sausage 1 (16 ounce) package yellow corn tortilla chips, or as needed 2 1/2 cups shredded Mexican cheese blend, divided 1/2 cup mayonnaise 1/3 cup evaporated milk 2 eggs, beaten 2 1/2 teaspoons cayenne pepper 1 pinch salt and ground black pepper to taste",southwestern summer squash casserole ear corn pound pattypan squash cup southwestern style freeze mix vegetable thaw large onion cut chunk jalapeno pepper mince taste tablespoon olive oil teaspoon salt free southwest chipotle season blend mr dash serve cook spray pam ounce package chorizo sausage ounce package yellow corn tortilla chip need cup shred mexican cheese blend divide cup mayonnaise cup evaporate milk egg beat teaspoon cayenne pepper pinch salt grind black pepper taste
278922,"Mexican Summer Squash Casserole 1  serving cooking spray 1 ¼ pounds unpeeled yellow squash, quartered lengthwise and sliced 1 pound peeled zucchini, quartered lengthwise and sliced 2 ½ cups shredded, reduced-fat sharp Cheddar cheese, divided 2 (4 ounce) cans chopped green chile peppers, drained ⅔ cup finely chopped onion 1 teaspoon salt ¼ cup all-purpose flour ¾ cup mild or medium salsa 1 tablespoon finely sliced green onion, or to taste",mexican summer squash casserole serve cook spray pound unpeeled yellow squash quarter lengthwise slice pound peel zucchini quarter lengthwise slice cup shred reduce fat sharp cheddar cheese divide ounce can chop green chile pepper drain cup finely chop onion teaspoon salt cup purpose flour cup mild medium salsa tablespoon finely slice green onion taste
278923,"Grammy's Blueberry Cupcakes Cupcakes: 2 cups all-purpose flour 1/2 teaspoon baking powder 1/2 teaspoon salt 6 tablespoons butter, softened 1 1/4 cups white sugar 2 large eggs 1/2 cup milk 1 pint fresh blueberries Topping: 2 teaspoons white sugar 1 pinch ground cinnamon",grammy blueberry cupcake cupcake cup purpose flour teaspoon bake powder teaspoon salt tablespoon butter soften cup white sugar large egg cup milk pint fresh blueberry top teaspoon white sugar pinch grind cinnamon
278924,"Oreo®-Filled Cupcakes Cupcakes: 1 cup strong brewed coffee 1 cup unsalted butter, at room temperature 3/4 cup unsweetened cocoa powder 2 cups all-purpose flour 2 cups white sugar 1 1/2 teaspoons baking soda 3/4 teaspoon salt 2/3 cup sour cream 2 large eggs Frosting: 1/4 cup mini chocolate sandwich cookies (such as Oreo® Mini) 1 cup unsalted butter, softened 1 cup shortening 8 cups confectioners' sugar 6 fluid ounces heavy cream, or more as needed 2 teaspoons vanilla extract 1/4 teaspoon salt 48 mini chocolate sandwich cookies (such as Oreo® Mini)",oreo fill cupcake cupcake cup strong brew coffee cup unsalted butter room temperature cup unsweetened cocoa powder cup purpose flour cup white sugar teaspoon bake soda teaspoon salt cup sour cream large egg frost cup mini chocolate sandwich cooky oreo mini cup unsalted butter soften cup shorten cup confectioner sugar fluid ounce heavy cream need teaspoon vanilla extract teaspoon salt mini chocolate sandwich cooky oreo mini
278925,Chocolate Cream-Filled Cupcakes with Fudge Icing Cupcakes: 3 cups all-purpose flour 2 cups white sugar 1/3 cup unsweetened cocoa powder 1 teaspoon baking soda 1 teaspoon baking powder 1 teaspoon salt 2 cups milk 1 cup vegetable oil 2 large eggs 1 teaspoon vanilla extract Filling: 2 cups confectioners' sugar 1/4 cup unsalted butter 1/4 cup shortening 3 tablespoons milk 1 teaspoon vanilla extract 1 pinch salt 1 cup marshmallow creme Fudge Icing: 2 3/4 cups confectioners' sugar 6 tablespoons unsweetened cocoa powder 6 tablespoons unsalted butter 5 tablespoons evaporated milk 1 teaspoon vanilla extract 1/2 cup semisweet chocolate chips 2 tablespoons corn syrup,chocolate cream fill cupcake fudge ice cupcake cup purpose flour cup white sugar cup unsweetened cocoa powder teaspoon bake soda teaspoon bake powder teaspoon salt cup milk cup vegetable oil large egg teaspoon vanilla extract fill cup confectioner sugar cup unsalted butter cup shorten tablespoon milk teaspoon vanilla extract pinch salt cup marshmallow creme fudge ice cup confectioner sugar tablespoon unsweetened cocoa powder tablespoon unsalted butter tablespoon evaporate milk teaspoon vanilla extract cup semisweet chocolate chip tablespoon corn syrup
278926,"Raspberry-Filled Chocolate Cupcakes with Vanilla Buttercream 1 1/2 cups all-purpose flour 1/4 cup Dutch-process dark chocolate cocoa powder 1 1/2 teaspoons baking powder 2/3 cup white sugar 1/2 cup whole milk 1/2 cup vegetable oil 2 large eggs, at room temperature 1 teaspoon vanilla extract 1/2 cup seedless raspberry preserves Vanilla Buttercream: 1 1/2 cups powdered sugar 1/2 cup unsalted butter, softened 1 teaspoon vanilla extract 1 tablespoon milk, or more as needed (optional)",raspberry fill chocolate cupcake vanilla buttercream cup purpose flour cup dutch process dark chocolate cocoa powder teaspoon bake powder cup white sugar cup whole milk cup vegetable oil large egg room temperature teaspoon vanilla extract cup seedless raspberry preserve vanilla buttercream cup powder sugar cup unsalted butter soften teaspoon vanilla extract tablespoon milk need optional
278927,"Fudgy Filled Cupcakes Filling: 1 (8 ounce) package cream cheese, softened 1/4 cup white sugar 1 large egg, beaten 1/2 cup semisweet chocolate chips Cupcakes: 3/4 cup unsalted butter 2/3 cup semisweet chocolate chips 1 1/4 teaspoons vanilla extract 4 large eggs 1 1/2 cups white sugar 1 cup all-purpose flour",fudgy fill cupcake fill ounce package cream cheese soften cup white sugar large egg beat cup semisweet chocolate chip cupcake cup unsalted butter cup semisweet chocolate chip teaspoon vanilla extract large egg cup white sugar cup purpose flour
